Row_ID,Insurer,Category,Product_Name,Variant,PPT,PT,Base_Payout_Yr1,Renewal_Yr2,Renewal_Yr3,Renewal_Yr4,Renewal_Yr5,Renewal_Yr6_Plus,Row_Specific_Remarks,Sheet_Level_Notes_And_Conditions,All_Renewal_Years_Raw
1,TATA_AIA,Protection,SRP - Life Option(Offline),,2,-,0.165,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
2,TATA_AIA,Protection,SRP - Life Option(Offline),,3,-,0.2,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
3,TATA_AIA,Protection,SRP - Life Option(Offline),,4,-,0.24,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
4,TATA_AIA,Protection,SRP - Life Option(Offline),,5,-,0.4,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
5,TATA_AIA,Protection,SRP - Life Option(Offline),,6,-,0.41,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
6,TATA_AIA,Protection,SRP - Life Option(Offline),,7 - 9,-,0.43,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
7,TATA_AIA,Protection,SRP - Life Option(Offline),,10,-,0.44,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
8,TATA_AIA,Protection,SRP - Life Option(Offline),,11,-,0.44,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
9,TATA_AIA,Protection,SRP - Life Option(Offline),,12,-,0.465,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
10,TATA_AIA,Protection,SRP - Life Option(Offline),,13,-,0.49,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
11,TATA_AIA,Protection,SRP - Life Option(Digital Discount),,2,-,0.09,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
12,TATA_AIA,Protection,SRP - Life Option(Digital Discount),,3,-,0.13,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
13,TATA_AIA,Protection,SRP - Life Option(Digital Discount),,4,-,0.165,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
14,TATA_AIA,Protection,SRP - Life Option(Digital Discount),,5,-,0.32,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
15,TATA_AIA,Protection,SRP - Life Option(Digital Discount),,6,-,0.34,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
16,TATA_AIA,Protection,SRP - Life Option(Digital Discount),,7 - 9,-,0.35,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
17,TATA_AIA,Protection,SRP - Life Option(Digital Discount),,10,-,0.37,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
18,TATA_AIA,Protection,SRP - Life Option(Digital Discount),,11,-,0.37,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
19,TATA_AIA,Protection,SRP - Life Option(Digital Discount),,12,-,0.39,0.0,,,,,,"Fresh | Note: Rates for new PPT / PT & Products will be conveyed separately | Fortune Guarantee Supreme V3 (**) - Differed income - ROP (credits will be applied with below conditions) 1. The above rates of Fortune Guarantee Supreme V3 is applicable for >= 4L annual premium 2. The above rates are applicable only for the cases login and issuance from 1st Apr'25 to 31st Mar'26. 3. The above rates will not be applicable for the cases which are login before 1st Apr'25, revised rates will be shared for the cases log in from 1st Apr'26 onwards 4. Any contest, topline booster, VLI, product booster will not be applicable for the above product",at 2nd year: 0%
